mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
cyclopscore,Cyclops Core,1.29.1,cyclopscore-1.21.1-neoforge-1.29.1.jar,,,https://github.com/CyclopsMC/CyclopsCore/issues
betterdungeons,YUNG's Better Dungeons,1.21.1-NeoForge-5.1.4,YungsBetterDungeons-1.21.1-NeoForge-5.1.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-dungeons-neoforge,https://github.com/yungnickyoung/YUNGs-Better-Dungeons/issues
kuma_api,KumaAPI,21.0.8,kuma-api-neoforge-21.0.8+1.21.jar,,https://mods.twelveiterations.com/mc/kuma,https://github.com/TwelveIterationMods/Kuma/issues
fabric_renderer_api_v1,Forgified Fabric Renderer API (v1),3.4.0+acb05a3919,fabric-renderer-api-v1-3.4.0+acb05a3919.jar,,https://github.com/Sinytra/ForgifiedFabricAPI,https://github.com/Sinytra/ForgifiedFabricAPI/issues
ftbessentials,FTB Essentials,2101.1.9,ftb-essentials-neoforge-2101.1.9.jar,,,https://go.ftb.team/support-mod-issues
betterwitchhuts,YUNG's Better Witch Huts,1.21.1-NeoForge-4.1.1,YungsBetterWitchHuts-1.21.1-NeoForge-4.1.1.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-witch-huts-neoforge,https://github.com/yungnickyoung/YUNGs-Better-Witch-Huts/issues
artifactscrafting,Artifacts Crafting,1.1.0,artifactscrafting-1.1.0-RPG.jar,,,
geckolib,GeckoLib 4,4.9.1,geckolib-neoforge-1.21.1-4.9.1.jar,,http://geckolib.com/,https://github.com/bernie-g/geckolib/issues
playeranimator,Player Animator,2.0.4+1.21.1,player-animation-lib-forge-2.0.4+1.21.1.jar,,https://github.com/KosmX/minecraftPlayerAnimator,
aether,The Aether,1.5.10,aether-1.21.1-1.5.10-neoforge.jar,,https://modrinth.com/mod/aether,https://github.com/The-Aether-Team/The-Aether/issues
integratedterminals,IntegratedTerminals,1.7.0,integratedterminals-1.21.1-neoforge-1.7.0.jar,,,https://github.com/CyclopsMC/IntegratedTerminals/issues
integratedterminalscompat,IntegratedTerminals-Compat,1.0.0,integratedterminals-1.21.1-neoforge-1.7.0.jar,,,https://github.com/CyclopsMC/IntegratedTerminals/issues
dynamiccrosshair,Dynamic Crosshair,9.11,dynamiccrosshair-9.11+1.21.1-neoforge.jar,,,https://github.com/Crendgrim/DynamicCrosshair/issues
betteroceanmonuments,YUNG's Better Ocean Monuments,1.21.1-NeoForge-4.1.2,YungsBetterOceanMonuments-1.21.1-NeoForge-4.1.2.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-ocean-monuments-neoforge,https://github.com/yungnickyoung/YUNGs-Better-Ocean-Monuments/issues
immersive_aircraft,Immersive Aircraft,1.4.6+1.21.1,immersive_aircraft-1.4.6+1.21.1-neoforge.jar,,https://www.curseforge.com/minecraft/mc-mods/immersive-aircraft,https://github.com/Luke100000/ImmersiveAircraft/issues
immersive_machinery,Immersive Machinery,0.2.0+1.21.1,immersive_machinery-0.2.0+1.21.1-neoforge.jar,,https://www.curseforge.com/minecraft/mc-mods/immersive-machinery,https://github.com/Luke100000/ImmersiveMachinery/issues
sophisticatedcore,Sophisticated Core,1.4.62,sophisticatedcore-1.21.1-1.4.62.2079.jar,,https://www.curseforge.com/minecraft/mc-mods/sophisticated-core,https://github.com/P3pp3rF1y/SophisticatedCore/issues
essentials,Essentials,2.17.5,essentials-2.17.5.jar,,,https://github.com/Crossroads-Development/Essentials/issues
neoforge,NeoForge,21.1.228,neoforge-21.1.228-universal.jar,,,https://github.com/neoforged/NeoForge/issues
placebo,Placebo,9.9.1,Placebo-1.21.1-9.9.1.jar,,,
modernfix,ModernFix,5.27.14+mc1.21.1,modernfix-neoforge-5.27.14+mc1.21.1.jar,,https://modrinth.com/mod/modernfix,https://github.com/embeddedt/ModernFix/issues
integratedrest,IntegratedREST,1.1.15,integratedrest-1.21.1-neoforge-1.1.15-184.jar,,,https://github.com/CyclopsMC/IntegratedREST/issues
fabric_block_view_api_v2,Forgified Fabric BlockView API (v2),1.0.10+9afaaf8c19,fabric-block-view-api-v2-1.0.10+9afaaf8c19.jar,,https://github.com/Sinytra/ForgifiedFabricAPI,https://github.com/Sinytra/ForgifiedFabricAPI/issues
yungsapi,YUNG's API,1.21.1-NeoForge-5.1.6,YungsApi-1.21.1-NeoForge-5.1.6.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-api-neoforge,https://github.com/yungnickyoung/YUNGs-Api/issues
iris,Iris,1.8.14-beta.1+mc1.21.1,iris-neoforge-1.8.14-beta.1+mc1.21.1.jar,,,
gravestonecurioscompat,Gravestone Curios Compatibility,4.0.2,gravestonecurioscompat-1.21.1-NeoForge-4.0.2.jar,,,
sophisticatedbackpacks,Sophisticated Backpacks,3.25.64,sophisticatedbackpacks-1.21.1-3.25.64.1933.jar,,https://www.curseforge.com/minecraft/mc-mods/sophisticated-backpacks,https://github.com/P3pp3rF1y/SophisticatedBackpacks/issues
nuggets,Nuggets,1.1.0.48,nuggets-neoforge-1.21.1-1.1.0.48.jar,,,
balm,Balm,21.0.59,balm-neoforge-1.21.1-21.0.59.jar,,https://mods.twelveiterations.com/,https://github.com/TwelveIterations/Balm/issues
cataclysm_spellbooks,Cataclysm: Spellbooks,1.1.12-1.21,cataclysm_spellbooks-1.1.12-1.21.jar,,,
chat_heads,Chat Heads,0.15.2,chat_heads-0.15.2-neoforge-1.21.jar,,,https://github.com/dzwdz/chat_heads/issues
baguettelib,BaguetteLib,2.0.3,baguettelib-1.21.1-NeoForge-2.0.3.jar,,,
betterfortresses,YUNG's Better Nether Fortresses,1.21.1-NeoForge-3.1.5,YungsBetterNetherFortresses-1.21.1-NeoForge-3.1.5.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-nether-fortresses-neoforge,https://github.com/yungnickyoung/YUNGs-Better-Fortresses/issues
cloth_config,Cloth Config v15 API,15.0.140,cloth-config-15.0.140-neoforge.jar,,,https://github.com/architectury/ClothConfig/issues/
fzzy_config,Fzzy Config,0.7.6+1.21+neoforge,fzzy_config-0.7.6+1.21+neoforge.jar,,,https://github.com/fzzyhmstrs/fconfig/issues
create_connected,Create: Connected,1.3.2-mc1.21.1,create_connected-1.3.2-mc1.21.1.jar,,https://github.com/hlysine/create_connected,https://github.com/hlysine/create_connected/issues
aces_spell_utils,Ace's Spell Utils,1.2.6.1-1.21.1,aces_spell_utils-1.2.6.1-1.21.1.jar,,,
commoncapabilities,CommonCapabilities,2.11.5,commoncapabilities-1.21.1-neoforge-2.11.5.jar,,,https://github.com/CyclopsMC/CommonCapabilities/issues
getittogetherdrops,Get It Together, Drops!,1.4,getittogetherdrops-neoforge-1.21.5-1.4.jar,,https://www.curseforge.com/minecraft/mc-mods/get-it-together-drops,https://github.com/bl4ckscor3/GetItTogetherDrops/issues
explorify,Explorify,1.6.5,Explorify v1.6.5.mod.jar,,https://modrinth.com/datapack/explorify,
chunky,Chunky,1.4.23,Chunky-NeoForge-1.4.23.jar,,https://github.com/pop4959/Chunky,https://github.com/pop4959/Chunky/issues
yungsbridges,YUNG's Bridges,1.21.1-NeoForge-5.1.1,YungsBridges-1.21.1-NeoForge-5.1.1.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-bridges-neoforge,https://github.com/yungnickyoung/YUNGs-Bridges/issues
apothic_attributes,Apothic Attributes,2.9.1,ApothicAttributes-1.21.1-2.9.1.jar,,,
dynamiccrosshairapi,Dynamic Crosshair API,1.2,dynamiccrosshair-api-9.11+1.21.1-neoforge.jar,,,https://github.com/Crendgrim/DynamicCrosshair/issues
servercore,ServerCore,1.5.19+1.21.1,servercore-neoforge-1.5.19+1.21.1.jar,,https://github.com/Wesley1808/ServerCore,https://github.com/Wesley1808/ServerCore/issues
lionfishapi,lionfishapi,3.0,lionfishapi-3.0.jar,,,
integratedscripting,IntegratedScripting,1.0.22,integratedscripting-1.21.1-neoforge-1.0.22-373.jar,,,https://github.com/CyclopsMC/IntegratedScripting/issues
spark,spark,1.10.124,spark-1.10.124-neoforge.jar,,,
cataclysm,L_Ender's Cataclysm 1.21.1,3.31-optimaztion,L_Ender's Cataclysm 1.21.1-3.31-optimaztion.jar,,,
curios,Curios API,9.5.1+1.21.1,curios-neoforge-9.5.1+1.21.1.jar,,https://github.com/TheIllusiveC4/Curios,https://github.com/TheIllusiveC4/Curios/issues
patchouli,Patchouli,1.21.1-93-NEOFORGE,Patchouli-1.21.1-93-NEOFORGE.jar,,,https://github.com/VazkiiMods/Patchouli
sophisticatedstoragecreateintegration,Sophisticated Storage Create Integration,0.1.17,sophisticatedstoragecreateintegration-1.21.1-0.1.17.132.jar,,https://www.curseforge.com/minecraft/mc-mods/sophisticated-storage-create-integration,https://github.com/P3pp3rF1y/SophisticatedStorageCreateIntegration/issues
yungsextras,YUNG's Extras,1.21.1-NeoForge-5.1.1,YungsExtras-1.21.1-NeoForge-5.1.1.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-extras-neoforge,https://github.com/yungnickyoung/YUNGs-Extras/issues
integratedtunnels,IntegratedTunnels,1.9.4,integratedtunnels-1.21.1-neoforge-1.9.4-632.jar,,,https://github.com/CyclopsMC/IntegratedTunnels/issues
integratedtunnelscompat,IntegratedTunnels-Compat,1.9.4,integratedtunnels-1.21.1-neoforge-1.9.4-632.jar,,,https://github.com/CyclopsMC/IntegratedTunnels/issues
noisium,Noisium,2.7.0+mc1.21-1.21.1,noisium-neoforge-2.7.0+mc1.21-1.21.1.jar,,https://github.com/Steveplays28/noisium,https://github.com/Steveplays28/noisium/issues
betterstrongholds,YUNG's Better Strongholds,1.21.1-NeoForge-5.1.3,YungsBetterStrongholds-1.21.1-NeoForge-5.1.3.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-strongholds-neoforge,https://github.com/yungnickyoung/YUNGs-Better-Strongholds/issues
accessories,Accessories,1.1.0-beta.48+1.21.1,accessories-neoforge-1.1.0-beta.48+1.21.1.jar,,,
cumulus_menus,Cumulus,2.0.7,cumulus_menus-1.21.1-2.0.7-neoforge.jar,,https://modrinth.com/mod/cumulus,https://github.com/The-Aether-Team/Cumulus/issues
deeperdarker,Deeper and Darker,1.4.1,deeperdarker-neoforge-1.21.1-1.4.1.jar,,,https://github.com/KyaniteMods/DeeperAndDarker/issues
architectury,Architectury,13.0.8,architectury-13.0.8-neoforge.jar,,,https://github.com/shedaniel/architectury/issues
simplytooltips,Simply Tooltips,0.1.3,SimplyTooltips-neoforge-0.1.3.jar,,,
apothic_enchanting,Apothic Enchanting,1.5.3,ApothicEnchanting-1.21.1-1.5.3.jar,,,
betterendisland,YUNG's Better End Island,1.21.1-NeoForge-3.1.2,YungsBetterEndIsland-1.21.1-NeoForge-3.1.2.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-end-island-neoforge,https://github.com/yungnickyoung/YUNGs-Better-End-Island/issues
dynamic_fps,Dynamic FPS,3.11.4,dynamic-fps-3.11.4+minecraft-1.21.0-neoforge.jar,https://dapprgames.com/mods,https://dapprgames.com/mods,https://github.com/juliand665/Dynamic-FPS/issues
fabric_rendering_data_attachment_v1,Forgified Fabric Rendering Data Attachment (v1),0.3.48+73761d2e19,fabric-rendering-data-attachment-v1-0.3.48+73761d2e19.jar,,https://github.com/Sinytra/ForgifiedFabricAPI,https://github.com/Sinytra/ForgifiedFabricAPI/issues
nitrogen_internals,Nitrogen,1.1.25,nitrogen_internals-1.21.1-1.1.25-neoforge.jar,,https://github.com/The-Aether-Team/Nitrogen,https://github.com/The-Aether-Team/Nitrogen/issues
